Quel est le problème économique fondamental découlant de la confrontation entre les besoins et les ressources ?,"La rareté, qui résulte de besoins humains illimités face à des ressources (naturelles, financières, etc.) limitées."
Comment l'économie est-elle définie en tant que science des choix ?,Elle étudie la façon dont les agents économiques effectuent des choix optimaux pour obtenir le maximum de satisfaction avec le minimum de ressources.
"Selon la définition d'Edmond Malinvaud, quelles sont les trois opérations essentielles que l'économie étudie ?","La production, la distribution et la consommation de biens."
Pourquoi un ingénieur du XXIe siècle doit-il comprendre l'économie ?,Pour s'assurer que les solutions techniques développées sont également viables économiquement et non seulement techniquement parfaites.
Quelle est la formule d'un projet réussi en ingénierie ?,Un projet réussi est la combinaison d'une pertinence technique et d'une faisabilité économique.
Qui sont considérés comme les quatre principaux types d'acteurs ou agents économiques ?,"Les ménages, les entreprises, les administrations publiques et le reste du monde."
Quelle est la fonction principale des ménages dans l'économie ?,"Consommer des biens et services pour satisfaire leurs besoins, et fournir du travail en échange de revenus."
Quelle est la fonction principale des entreprises dans l'économie ?,Produire des biens et des services marchands.
Quelle est la fonction principale des administrations publiques dans l'économie ?,"Rendre des services non marchands, réguler l'économie et redistribuer les richesses via les impôts."
Quel est le rôle du 'reste du monde' en tant qu'acteur économique ?,"Il représente les interactions économiques avec d'autres pays, notamment par les importations et les exportations."
Quelle branche de l'économie étudie les comportements individuels des agents économiques comme les consommateurs et les entreprises ?,La microéconomie.
"Quelle branche de l'économie étudie les relations entre les grands agrégats économiques comme le revenu, l'investissement et l'inflation ?",La macroéconomie.
Comment calcule-t-on le taux de chômage ?,"C'est le pourcentage de chômeurs dans la population active, calculé par la formule : (Nombre de chômeurs / Population Active) × 100."
Qu'est-ce que la balance des paiements (BP) ?,C'est un document qui enregistre l'ensemble des échanges économiques entre les agents résidents d'un pays et les non-résidents pendant une année.
Quand dit-on que la balance des paiements est excédentaire ?,"Lorsque le solde est positif, ce qui signifie que les entrées de devises sont supérieures aux sorties."
Quel est l'impact d'une croissance du PIB sur l'innovation ?,Une croissance du PIB indique un environnement économique favorable pour les innovations.
Quel est l'impact d'une inflation élevée sur les coûts de production ?,"Une inflation élevée peut augmenter les coûts de production, rendant la commercialisation de nouveaux produits plus difficile."
Quels sont les trois principaux impacts de l'innovation sur la croissance économique ?,"L'accroissement de la compétitivité, l'augmentation de la productivité et la création d'effets multiplicateurs sur l'économie."
Citez deux avantages stratégiques pour une entreprise innovante.,Elle attire davantage d'investisseurs et est plus apte à s'adapter aux changements économiques et technologiques.
Pourquoi l'importation est-elle importante pour les projets innovants ?,"Elle permet d'accéder à des matériaux, des composants spécifiques ou des technologies de pointe non disponibles localement."
Pourquoi l'exportation est-elle importante pour les projets innovants ?,"Elle permet d'élargir les opportunités de marché au-delà de la demande locale, qui peut être insuffisante ou saturée."
Quelle est l'équation de la fonction de consommation keynésienne ?,"$C = C_0 + c \cdot Y_d$, où C est la consommation totale, C0 la consommation incompressible, c la propension marginale à consommer et Yd le revenu disponible."
"Dans la fonction de consommation $C = C_0 + c \cdot Y_d$, que représente le terme $C_0$ ?","La consommation incompressible (ou autonome), c'est-à-dire le niveau de consommation qui existe même lorsque le revenu est nul."
"Dans la fonction de consommation $C = C_0 + c \cdot Y_d$, que représente le terme 'c' ?","La propension marginale à consommer (PmC), qui est la part de chaque unité de revenu supplémentaire qui est consacrée à la consommation."
Comment définit-on l'épargne ?,L'épargne est la partie du revenu qui n'est pas consommée.
"Selon l'optique de la production, comment le PIB est-il défini ?","Le PIB est la somme de toutes les valeurs ajoutées réalisées dans une économie, calculée comme Production - Consommation intermédiaire."
Quelle est la formule du multiplicateur des dépenses publiques (k) dans un modèle avec un taux d'imposition (t) ?,"La formule est $k = \frac{1}{1 - c(1 - t)}$, où 'c' est la propension marginale à consommer."
Quelle est la formule du multiplicateur (k) dans un modèle avec un taux d'imposition (t) et une propension marginale à importer (m) ?,La formule est $k = \frac{1}{1 - c(1 - t) + m}$.
Comment la présence d'un taux d'imposition élevé affecte-t-elle la valeur du multiplicateur macroéconomique ?,"Un taux d'imposition plus élevé diminue la valeur du multiplicateur, car une part du revenu est prélevée en impôts, réduisant le montant disponible pour la consommation."
Comment la propension marginale à importer (m) affecte-t-elle la valeur du multiplicateur macroéconomique ?,"Elle réduit la valeur du multiplicateur, car une partie des dépenses est consacrée à des biens importés plutôt qu'à la production nationale."
Quel est l'effet à court terme d'une augmentation des dépenses publiques sur l'économie ?,"Elle stimule la demande globale, ce qui accroît la production et le pouvoir d'achat."
Quel est le principal risque à moyen terme d'une augmentation des dépenses publiques financée par le déficit ?,"Le risque d'une hausse de l'inflation, qui peut inciter la banque centrale à adopter une politique monétaire restrictive en augmentant les taux d'intérêt."
"À long terme, quel est l'impact négatif potentiel d'un déficit budgétaire persistant ?","Il peut exercer une pression à la hausse sur les taux d'intérêt, ce qui décourage l'investissement privé et peut nuire à la croissance économique."
Comment le modèle économique linéaire traditionnel est-il souvent résumé ?,"Par le schéma ""extraire - fabriquer - consommer - jeter""."
Quelle est la définition de l'économie circulaire ?,Un système économique visant à optimiser l'utilisation des ressources tout au long du cycle de vie des biens en minimisant le gaspillage et en maximisant la réutilisation.
Quel est le premier des trois principes fondamentaux de l'économie circulaire ?,Éliminer les déchets et la pollution dès la conception.
Quel est le deuxième des trois principes fondamentaux de l'économie circulaire ?,"Maintenir les produits et les matériaux en service le plus longtemps possible (réemploi, réparation, recyclage)."
Quel est le troisième des trois principes fondamentaux de l'économie circulaire ?,Régénérer les systèmes naturels.
Comment un ingénieur informatique peut-il contribuer au développement durable de logiciels ?,En écrivant du code optimisé pour consommer moins de ressources serveur et en utilisant le cloud computing de manière judicieuse.
Comment les technologies émergentes comme l'IA et l'IoT peuvent-elles servir l'économie circulaire ?,Elles peuvent être utilisées pour optimiser la gestion des ressources et des déchets.
Le modèle économique qui privilégie l'usage d'un bien plutôt que sa possession est appelé _____.,l'économie de la fonctionnalité
Quel est le principe de l'économie de la fonctionnalité ?,"Les entreprises vendent un service ou une performance liée au produit, ce qui les incite à concevoir des produits plus durables et réparables."
Quel exemple d'économie de la fonctionnalité est donné pour Renault ?,Renault propose la location des batteries de voitures électriques pour assurer leur reprise et leur remise à neuf après usage.
Qu'est-ce que l'écoconception ?,C'est l'intégration des considérations environnementales dès la phase de conception d'un produit ou service pour minimiser son impact.
Qu'est-ce que l'écologie industrielle et territoriale ?,"C'est une organisation entre entreprises où les déchets d'une entreprise deviennent les matières premières d'une autre, inspirée des écosystèmes naturels."
Donnez un exemple d'écologie industrielle et territoriale.,Les cartons usagés d'une entreprise sont utilisés par une papeterie pour créer de nouveaux emballages.
Quel rôle les plateformes collaboratives numériques jouent-elles dans l'économie circulaire ?,"Elles facilitent le partage, la location et l'échange de biens (seconde main) et de services, réduisant le besoin de posséder de nouveaux articles."
Quelle est la contribution de la plateforme Vinted à l'économie circulaire ?,"Elle facilite le commerce de vêtements d'occasion, prolongeant ainsi leur durée de vie."
Quelle est la contribution de la plateforme OLIO à l'économie circulaire ?,"Elle permet le partage de surplus alimentaires entre particuliers et commerces, réduisant ainsi le gaspillage."
La transition vers une économie circulaire requiert une collaboration étroite entre quels trois groupes ?,"Les gouvernements, les entreprises et les consommateurs."
Quelles sont les quatre étapes du cycle de vie d'un produit ?,"1. Introduction, 2. Croissance, 3. Maturité, 4. Déclin."
Quel est le principal défi pour l'ingénieur concernant l'innovation technologique dans le contexte économique actuel ?,"Il doit comprendre les dynamiques économiques qui déterminent le succès ou l'échec des innovations, et pas seulement la maîtrise technique."
"Dans la formule du PIB, $PIB = P - CI$, que représente 'CI' ?",'CI' désigne l'ensemble des consommations intermédiaires effectuées pour la production.
Quels sont les trois objectifs de l'étude de l'économie selon le document ?,"Comprendre le monde, aider à la décision, et évaluer les politiques économiques."
Comment le comportement des agents économiques est-il qualifié en théorie économique ?,Les agents économiques sont considérés comme des êtres rationnels qui cherchent à maximiser leur satisfaction.
"Dans le modèle macroéconomique présenté, si les impôts (T) sont proportionnels au revenu (Y), quelle est la formule pour T ?","$T = t \cdot Y$, où 't' est le taux d'imposition constant."
Comment se calcule le déficit budgétaire de l'État ?,"Le déficit budgétaire est la différence entre les dépenses publiques (G) et les recettes fiscales (T), soit $D = G - T$."
Un déficit budgétaire indique que l'État dépense _____ qu'il ne perçoit en impôts.,plus
Quel est l'impact direct d'une augmentation des dépenses publiques sur le pouvoir d'achat du consommateur dans le modèle keynésien ?,"Elle augmente le revenu national (via l'effet multiplicateur), ce qui augmente le revenu disponible des consommateurs et donc leur pouvoir d'achat."
Quel est le but de la gestion des risques économiques dans un projet ?,"Elle est essentielle pour minimiser les risques associés à l'activité économique en identifiant, évaluant et mettant en place des mesures de mitigation."
"Pour exporter avec succès, que doivent assurer les entreprises concernant leurs produits ?","Elles doivent s'assurer que leurs produits ou services sont compétitifs à l'échelle internationale en termes de qualité, de prix et d'innovation."
L'analyse économique appliquée à l'innovation vise à donner aux futurs ingénieurs des outils pour évaluer la _____ des projets.,viabilité
